,unit,ticker,exchangeCD,utcOffset,currencyCD,barTime,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
64,1,1,XSHE,+08:00,CNY,10:34,8.69,8.69,8.7,8.69,79000,686699
65,1,1,XSHE,+08:00,CNY,10:35,8.69,8.69,8.7,8.69,61540,534958.6
66,1,1,XSHE,+08:00,CNY,10:36,8.7,8.69,8.7,8.69,124200,1079654
67,1,1,XSHE,+08:00,CNY,10:37,8.69,8.7,8.7,8.69,66800,580853
68,1,1,XSHE,+08:00,CNY,10:38,8.7,8.69,8.7,8.69,36100,313818
69,1,1,XSHE,+08:00,CNY,10:39,8.69,8.7,8.7,8.69,85700,745138
70,1,1,XSHE,+08:00,CNY,10:40,8.69,8.69,8.69,8.69,110700,961983
71,1,1,XSHE,+08:00,CNY,10:41,8.7,8.69,8.7,8.69,121200,1053272
72,1,1,XSHE,+08:00,CNY,10:42,8.7,8.7,8.7,8.69,76900,668368
73,1,1,XSHE,+08:00,CNY,10:43,8.69,8.69,8.7,8.69,111179,966500.51
74,1,1,XSHE,+08:00,CNY,10:44,8.69,8.69,8.7,8.69,121520,1056347.8
75,1,1,XSHE,+08:00,CNY,10:45,8.69,8.69,8.7,8.68,300132,2608187.08
76,1,1,XSHE,+08:00,CNY,10:46,8.68,8.68,8.69,8.68,185900,1613635
77,1,1,XSHE,+08:00,CNY,10:47,8.67,8.69,8.69,8.67,145040,1258701.2
78,1,1,XSHE,+08:00,CNY,10:48,8.68,8.68,8.68,8.67,102800,891416
79,1,1,XSHE,+08:00,CNY,10:49,8.67,8.67,8.68,8.67,56200,487336
80,1,1,XSHE,+08:00,CNY,10:50,8.68,8.67,8.68,8.67,142120,1232694.4
81,1,1,XSHE,+08:00,CNY,10:51,8.67,8.67,8.68,8.67,62016,537810.72
82,1,1,XSHE,+08:00,CNY,10:52,8.68,8.67,8.68,8.67,101560,880777.2
83,1,1,XSHE,+08:00,CNY,10:53,8.67,8.67,8.68,8.67,109600,950594
84,1,1,XSHE,+08:00,CNY,10:54,8.66,8.68,8.68,8.66,450204,3900507.68
85,1,1,XSHE,+08:00,CNY,10:55,8.66,8.66,8.67,8.65,164892,1428082.8
86,1,1,XSHE,+08:00,CNY,10:56,8.67,8.66,8.67,8.66,79732,690875.12
87,1,1,XSHE,+08:00,CNY,10:57,8.67,8.66,8.68,8.66,156500,1356834.04
88,1,1,XSHE,+08:00,CNY,10:58,8.67,8.68,8.68,8.66,96200,834338
89,1,1,XSHE,+08:00,CNY,10:59,8.66,8.66,8.67,8.66,38800,336222
90,1,1,XSHE,+08:00,CNY,11:00,8.68,8.67,8.68,8.66,42902,371784.32
